Region,Fold,MAE,RMSE,MASE,WAPE (%)
Kara Sea,14,2.0877671241760254,2.5536206552217475,1.701041413591622,6.492954
Kara Sea,15,1.5934096574783325,1.942622335403782,1.2980871903090823,6.284866
Chukchi Sea,1,3.1691606044769287,3.9131277342492643,3.2059874487213738,3.3150582
Chukchi Sea,2,1.818095326423645,2.161359951737077,1.8431469250418986,1.912318
Chukchi Sea,3,1.3958759307861328,1.7797919881556117,1.4172408208286573,1.4505758
Chukchi Sea,4,3.5243937969207764,4.303780184907785,3.5813811729332095,3.8221745
Chukchi Sea,5,1.8314454555511475,2.37906178935281,1.8604395050242868,2.151405
Chukchi Sea,6,1.6928024291992188,2.1281532005648613,1.7193807974673758,2.116128
Chukchi Sea,7,2.496347665786743,2.8826972090661402,2.534600079921527,3.4006667
Chukchi Sea,8,4.103241920471191,5.257689158564429,4.161036158625812,6.5932245
Chukchi Sea,9,3.4095466136932373,3.9952778360819656,3.4471753231954647,6.9168024
Chukchi Sea,10,1.9478992223739624,2.572549420503921,1.9649838409890632,5.015258
Chukchi Sea,11,1.6517384052276611,2.022425925238646,1.6640873602982256,5.30763
Chukchi Sea,12,3.3319318294525146,3.8927047869664713,3.3559461137745368,13.905094
Chukchi Sea,13,1.457623839378357,1.863092184971081,1.4674720498518457,8.827567
Chukchi Sea,14,1.70552659034729,2.0173262875634137,1.715736371328804,17.708384
Chukchi Sea,15,1.8564621210098267,2.1436205321606896,1.870109783985381,36.304688
Laptev Sea,1,2.1848838329315186,2.8215635277753313,1.9860867518662548,2.2828817
Laptev Sea,2,1.0106122493743896,1.323006854650108,0.9197921192383168,1.0608875
Laptev Sea,3,2.1861143112182617,2.498533677187734,1.9909246134728598,2.328701
Laptev Sea,4,3.038989305496216,4.607313826758731,2.7721712872977475,3.3235147
Laptev Sea,5,3.6603870391845703,5.062643731984983,3.333425241117908,4.4133215
Laptev Sea,6,4.014798641204834,5.0778904317819435,3.655434327949671,5.366891
Laptev Sea,7,6.451648712158203,7.535773600536638,5.851950414492687,10.878731
Laptev Sea,8,3.073824644088745,3.7179340140492956,2.7788057331162275,6.1730037
Laptev Sea,9,2.2399773597717285,2.7261791232977863,2.022607872253847,4.975731
Laptev Sea,10,2.277446746826172,2.6702599356775125,2.056864049930254,5.8425865
Laptev Sea,11,1.5986292362213135,2.120128208098372,1.4429023950577755,4.9244666
Laptev Sea,12,4.0696120262146,4.81225624953427,3.666040150291649,19.22673
Laptev Sea,13,1.76348876953125,2.118139186799239,1.5867570249685428,16.273132
Laptev Sea,14,1.9133347272872925,2.2575004388379996,1.724438128268317,26.784023
Laptev Sea,15,0.7473292946815491,1.0624249936724337,0.6745327614796245,17.915976
East Siberian Sea,1,1.0525166988372803,1.3553811080697886,1.1837974672704366,1.0762794
East Siberian Sea,2,1.6762300729751587,1.987628522352213,1.8879856041804994,1.7237952
East Siberian Sea,3,0.420511931180954,0.5188921388971999,0.4747546764795926,0.43051845
East Siberian Sea,4,0.7582661509513855,0.9365591732522293,0.8576667695147857,0.77369666
East Siberian Sea,5,2.133875608444214,2.6549419997322237,2.417254690478693,2.2206821
East Siberian Sea,6,2.2232635021209717,3.413572228187894,2.523615152264617,2.3967264
East Siberian Sea,7,6.272246360778809,7.477962924780687,7.094539937325549,7.711779
East Siberian Sea,8,6.163783073425293,7.334038989477075,6.923718094079702,8.960694
East Siberian Sea,9,3.4184701442718506,4.572380967215066,3.8344978416555615,5.0780454
East Siberian Sea,10,1.430631399154663,1.7926241807472245,1.6053493203408549,2.3117146
East Siberian Sea,11,2.010479211807251,2.414192369047936,2.250877279596641,3.7040954
East Siberian Sea,12,4.714066028594971,5.596521980061851,5.2594262497715984,10.764292
East Siberian Sea,13,2.4693052768707275,2.968369148319629,2.7474029155594346,7.769177
East Siberian Sea,14,2.5175106525421143,3.1121173056530997,2.793432016999089,11.54031
East Siberian Sea,15,0.7892367243766785,0.9553352743072739,0.8765987782214362,4.656161
