Region,Fold,MAE,RMSE,MASE,WAPE (%)
Chukchi Sea,8,0.3542571062900102,0.4493910583736756,0.3526947520166244,98.33451280950398
Chukchi Sea,9,0.2586175800856447,0.3950488147498082,0.2584654860170904,44.25784912476807
Chukchi Sea,10,0.07350918748933699,0.08815933275315121,0.07372552257468068,5.804971824026522
Chukchi Sea,11,0.3571883076337929,0.42537600406356063,0.35959092564728934,27.19954477494207
Chukchi Sea,12,2.0330883298335367,2.038673044938561,2.0537066842514466,199.27214860167965
Chukchi Sea,13,0.4792154060099993,0.5233715783424399,0.4856826720038509,48.11951804667768
Chukchi Sea,14,0.4149617563734587,0.4289485025571623,0.4221178481122734,45.65538083105498
Chukchi Sea,15,0.38810363111210006,0.5206662016837021,0.39627549726210937,35.78641135196865
Laptev Sea,1,2.1852751361640625,2.4916739801714005,1.878437469409688,6.500876287325265
Laptev Sea,2,2.105707229599243,2.9202547365123097,1.8070271354512895,9.338403334970856
Laptev Sea,3,0.8754250385315616,1.0069401025667293,0.7498043957557052,5.904006772794954
Laptev Sea,4,8.667602410571863,9.199692346824921,7.424257687299863,74.67711812809154
Laptev Sea,5,3.0398825016249953,3.5858669329590573,2.611111277337963,29.091773205789824
Laptev Sea,6,0.7246492715453762,0.8673929623960643,0.624305786950783,8.321172091007362
Laptev Sea,7,1.9794040987906811,2.1495717922983437,1.7078885795520322,45.33619313776002
Laptev Sea,8,0.8616540015761841,1.1963306591581258,0.7453025303281083,28.622167649910494
Laptev Sea,9,0.4634851508260512,0.5755252652075253,0.40227254433515447,16.099862819426445
Laptev Sea,10,0.9018992354643727,0.9905999422980876,0.7853621003214507,30.134770304105018
Laptev Sea,11,1.350350453671903,1.5436605073442793,1.1798325812637307,36.477930504242394
Laptev Sea,12,3.624820767811085,3.7540717334012426,3.1753303873910768,125.52125618820757
Laptev Sea,13,0.5919162828853094,0.7342055106013815,0.5196888429272589,40.39399444501258
Laptev Sea,14,2.656062733431466,2.9352585664568527,2.3408528422880703,81.10964346985186
Laptev Sea,15,1.0849794374895227,1.3084758869046427,0.958384602221965,16.626108108805454
East Siberian Sea,1,7.790568108338315,8.67462894958094,8.720045220986714,13.539318077871895
East Siberian Sea,2,7.735146893853822,9.5126007536524,8.658855527183697,17.77509952881099
East Siberian Sea,3,2.4388656727073523,2.8709977680777574,2.7075129613367523,7.8755252987224775
East Siberian Sea,4,3.0719140214679226,3.121192519956844,3.398675845736027,13.254213958411434
East Siberian Sea,5,3.12390588138931,3.637211487031262,3.4461076557161783,20.182617367583507
East Siberian Sea,6,2.5678328918165443,2.6399252881875044,2.83261961589455,34.538221524607025
East Siberian Sea,7,3.3907705399724395,3.8667018646722,3.7363928751356563,271.79591631329106
East Siberian Sea,8,5.355159512218096,5.741461473151474,5.912026976250286,656.925093064274
East Siberian Sea,9,2.650734849435868,3.118855194926543,2.936350764012866,398.04238772204985
East Siberian Sea,10,0.9357439462951492,1.0378471616310527,1.0404820847642864,127.62465170419384
East Siberian Sea,11,0.22152758301770978,0.2953630590265571,0.2472573634514095,28.938939649602847
